Date,Settle,Open,High,Low,Volume,Prev. Day Open Interest
2016-11-09,24.2,24.7,24.95,24.0,1108.0,15797.0
2016-11-10,24.2,23.9,24.3,23.85,379.0,15673.0
2016-11-11,24.55,24.2,24.7,24.2,1067.0,15537.0
2016-11-14,24.6,24.35,24.65,24.25,104.0,15693.0
2016-11-15,24.55,24.45,24.55,24.45,926.0,15694.0
2016-11-16,24.8,24.6,24.9,24.55,4894.0,15400.0
2016-11-17,24.85,0.0,0.0,0.0,0.0,17444.0
2016-11-18,25.35,24.85,25.45,24.85,2721.0,17417.0
2016-11-21,25.4,25.25,25.35,25.25,188.0,18673.0
2016-11-22,25.35,25.1,25.3,25.1,196.0,18783.0
2016-11-23,25.3,25.25,25.5,25.2,961.0,18143.0
2016-11-24,25.25,25.25,25.3,24.4,63.0,18070.0
2016-11-25,25.4,25.35,25.4,25.35,81.0,18038.0
2016-11-28,25.6,25.55,25.65,25.45,1910.0,18262.0
2016-11-29,25.45,25.45,25.45,25.4,481.0,17795.0
2016-11-30,25.3,25.35,25.35,25.2,1149.0,18444.0
2016-12-01,25.4,25.2,25.45,25.2,1084.0,18914.0
2016-12-02,25.3,25.45,25.5,25.3,616.0,18588.0
2016-12-05,25.1,24.95,25.2,24.85,111.0,18609.0
2016-12-06,24.8,25.0,25.0,24.85,368.0,18638.0
2016-12-07,24.65,24.6,24.85,24.6,3423.0,21920.0
2016-12-08,24.35,24.65,24.65,24.25,1111.0,19784.0
2016-12-09,24.75,24.45,24.85,24.45,182.0,18997.0
2016-12-12,24.8,24.75,24.8,24.75,650.0,19502.0
2016-12-13,24.55,24.5,24.55,24.5,978.0,19767.0
2016-12-14,24.85,24.6,24.9,24.55,1760.0,20343.0
2016-12-15,24.5,24.5,24.65,24.45,406.0,20687.0
2016-12-16,24.3,24.55,24.6,24.25,1116.0,21217.0
2016-12-19,24.2,24.25,24.25,24.15,630.0,21548.0
2016-12-20,24.05,24.05,24.1,24.05,163.0,21215.0
2016-12-21,24.1,24.1,24.1,23.95,970.0,21586.0
2016-12-22,24.3,24.15,24.35,24.05,743.0,21624.0
2016-12-23,24.3,24.2,24.25,24.2,58.0,21571.0
2016-12-27,24.3,24.7,24.7,24.3,51.0,21585.0
2016-12-28,24.45,24.4,24.4,24.4,293.0,21595.0
2016-12-29,24.65,24.5,24.7,24.5,83.0,0.0
2016-12-30,24.8,24.65,24.85,24.55,331.0,21599.0
2017-01-02,24.5,24.75,24.75,24.5,736.0,21561.0
2017-01-03,24.4,24.4,24.45,24.3,858.0,22019.0
2017-01-04,24.2,24.3,24.3,24.1,4756.0,26165.0
2017-01-05,24.0,24.1,24.1,23.95,3044.0,27934.0
2017-01-06,23.65,23.9,23.95,23.6,5591.0,31409.0
2017-01-09,23.3,23.65,23.8,23.3,1866.0,31956.0
2017-01-10,23.4,23.25,23.45,23.05,1684.0,31737.0
2017-01-11,23.4,23.45,23.55,23.3,1063.0,31733.0
2017-01-12,23.7,23.65,23.7,23.4,3899.0,34983.0
2017-01-13,23.4,23.45,23.5,23.3,2626.0,35296.0
2017-01-16,23.35,23.55,23.6,23.2,2004.0,36064.0
2017-01-17,23.3,23.4,23.5,23.15,5629.0,37322.0
2017-01-18,22.95,23.25,23.25,22.9,2128.0,38317.0
2017-01-19,22.8,22.9,22.95,22.65,8551.0,45137.0
2017-01-20,22.5,22.7,22.7,22.4,2731.0,46011.0
2017-01-23,22.6,22.65,22.7,22.5,1393.0,44518.0
2017-01-24,22.3,22.55,22.55,22.1,1772.0,44856.0
2017-01-25,21.85,21.9,22.05,21.85,3113.0,45832.0
2017-01-26,21.9,21.85,22.0,21.8,2742.0,44416.0
2017-01-27,22.1,21.95,22.15,21.9,1024.0,44212.0
2017-01-30,22.4,22.3,22.6,22.3,1474.0,43889.0
2017-01-31,22.3,22.3,22.4,22.15,3009.0,44038.0
2017-02-01,22.35,22.1,22.45,22.0,3508.0,0.0
2017-02-02,22.5,22.3,22.65,22.3,7625.0,49268.0
2017-02-03,22.25,22.4,22.4,22.15,4532.0,49640.0
2017-02-06,22.6,22.4,22.65,22.1,2338.0,50008.0
2017-02-07,23.0,22.65,23.05,22.5,6438.0,52737.0
2017-02-08,23.25,22.85,23.6,22.85,5672.0,54008.0
2017-02-09,22.4,23.15,23.15,22.4,8802.0,54986.0
2017-02-10,22.65,22.4,22.65,22.3,4016.0,56743.0
2017-02-13,22.5,22.5,22.55,22.25,7757.0,62226.0
2017-02-14,22.25,22.55,22.55,22.1,9370.0,66230.0
2017-02-15,21.8,22.1,22.1,21.65,10835.0,72561.0
2017-02-16,22.25,21.8,22.3,21.8,8652.0,75739.0
2017-02-17,22.25,22.25,22.6,22.2,9222.0,79208.0
