Date,Settle,Open,High,Low,Last,Change,Volume,Previous Day Open Interest
2016-09-20,506.25,,,,,2.75,0.0,0.0
2016-09-21,506.0,,,,,0.25,0.0,0.0
2016-09-22,506.0,,,,,,0.0,0.0
2016-09-23,506.0,,,,,,0.0,0.0
2016-09-26,502.25,,,,,3.75,0.0,0.0
2016-09-27,507.25,,,,,5.0,0.0,0.0
2016-09-28,510.0,,,,,2.75,0.0,0.0
2016-09-29,505.75,,,,,4.25,0.0,0.0
2016-09-30,508.5,,,,,2.75,0.0,0.0
2016-10-03,509.0,,,,,0.5,0.0,0.0
2016-10-04,508.25,,,,,0.75,0.0,0.0
2016-10-05,512.5,,,,,4.25,0.0,0.0
2016-10-06,504.25,,,,,8.25,0.0,0.0
2016-10-07,502.25,,,,,2.0,0.0,0.0
2016-10-10,509.25,,,,,7.0,0.0,0.0
2016-10-11,509.5,,,,,0.25,0.0,0.0
2016-10-12,503.0,,,,,6.5,0.0,0.0
2016-10-13,519.25,,,,,16.25,0.0,0.0
2016-10-14,517.5,,,,,1.75,0.0,0.0
2016-10-17,519.0,,,,,1.5,0.0,0.0
2016-10-18,518.25,,,,,0.75,0.0,0.0
2016-10-19,517.75,,,,,0.5,0.0,0.0
2016-10-20,517.5,,,,,0.25,0.0,0.0
2016-10-21,516.25,,,,,1.25,0.0,0.0
2016-10-24,507.25,,,,,9.0,0.0,0.0
2016-10-25,511.25,,,,,4.0,0.0,0.0
2016-10-26,516.75,,,,,5.5,0.0,0.0
2016-10-27,516.25,,,,,0.5,0.0,0.0
2016-10-28,511.5,,,,,4.75,0.0,0.0
2016-10-31,512.25,,,,,0.75,0.0,0.0
2016-11-01,512.0,,,,,0.25,0.0,0.0
2016-11-02,513.25,,,,,1.25,0.0,0.0
2016-11-03,511.75,,,,,1.5,0.0,0.0
2016-11-04,515.0,512.0,512.0,512.0,512.0,3.25,5.0,0.0
2016-11-07,513.75,513.5,513.5,513.5,513.5,1.25,3.0,5.0
2016-11-08,517.0,513.5,515.0,513.5,515.0,3.25,29.0,7.0
2016-11-09,517.5,514.0,515.0,514.0,515.0,0.5,19.0,26.0
2016-11-10,517.5,520.0,520.0,520.0,520.0,,19.0,30.0
2016-11-11,516.75,,,,,0.75,0.0,49.0
2016-11-14,515.5,515.0,515.0,515.0,515.0,1.25,121.0,49.0
2016-11-15,517.5,,,,,2.0,3.0,107.0
2016-11-16,516.0,,,,,1.5,0.0,110.0
2016-11-17,519.0,,517.0,,517.0,3.0,0.0,169.0
2016-11-18,524.25,525.0,527.0,525.0,527.0,5.25,2.0,169.0
2016-11-21,527.25,527.0,527.0,527.0,527.0,3.0,2.0,171.0
2016-11-22,527.0,,,,,0.25,0.0,172.0
2016-11-23,523.5,526.0,526.0,526.0,526.0,3.5,68.0,172.0
2016-11-25,523.0,,,,,0.5,6.0,225.0
2016-11-28,521.0,,,,,2.0,0.0,230.0
2016-11-29,517.75,520.0,520.0,518.75,520.0,3.25,124.0,230.0
2016-11-30,513.0,520.0,520.0,520.0,520.0,4.75,48.0,266.0
2016-12-01,506.5,517.5,517.5,517.5,517.5,6.5,8.0,279.0
2016-12-02,510.0,,,,,3.5,25.0,306.0
2016-12-05,509.75,,,,,0.25,1.0,309.0
2016-12-06,506.75,,,,,3.0,3.0,310.0
2016-12-07,499.5,500.0,500.0,500.0,500.0,7.25,12.0,312.0
2016-12-08,500.5,501.0,501.0,501.0,501.0,1.0,3.0,318.0
2016-12-09,506.0,502.0,503.0,502.0,503.0,5.5,7.0,318.0
2016-12-12,508.25,,,,,2.25,0.0,320.0
2016-12-13,504.5,,,,,3.75,1.0,320.0
2016-12-14,504.0,,,,,0.5,0.0,320.0
2016-12-15,495.0,,,,,9.0,7.0,320.0
2016-12-16,497.25,498.0,498.0,498.0,498.0,2.25,15.0,323.0
2016-12-19,494.5,,,,,2.75,0.0,318.0
2016-12-20,494.5,,,,,,0.0,318.0
2016-12-21,494.5,,,,,,0.0,318.0
2016-12-22,491.5,,,,,3.0,1.0,318.0
2016-12-23,488.75,,,490.25,490.25,2.75,1.0,319.0
2016-12-27,498.25,,,,,9.5,0.0,319.0
2016-12-28,493.5,493.75,493.75,493.75,493.75,4.75,2.0,319.0
2016-12-29,493.5,,,,,,0.0,319.0
2016-12-30,498.0,,,,,4.5,0.0,319.0
2017-01-03,494.75,,,,,3.25,0.0,319.0
2017-01-04,501.0,500.0,500.0,500.0,500.0,6.25,3.0,319.0
2017-01-05,503.75,,,,,2.75,10.0,322.0
2017-01-06,504.75,,,,,1.0,14.0,329.0
2017-01-09,509.75,,,,,5.0,6.0,329.0
2017-01-10,510.5,,,,,0.75,5.0,327.0
2017-01-11,505.25,,,,,5.25,2.0,322.0
2017-01-12,510.0,,,,,4.75,42.0,322.0
2017-01-13,516.75,512.0,512.0,512.0,512.0,6.75,14.0,313.0
2017-01-17,523.0,,,,,6.25,0.0,308.0
2017-01-18,522.5,,,,,0.5,0.0,308.0
2017-01-19,521.0,,,,,1.5,100.0,308.0
2017-01-20,522.75,,,,,1.75,0.0,323.0
2017-01-23,523.5,522.0,522.0,522.0,522.0,0.75,2.0,323.0
2017-01-24,520.25,,,,,3.25,1.0,323.0
2017-01-25,519.0,,,,,1.25,0.0,324.0
2017-01-26,520.5,,,,,1.5,2.0,324.0
2017-01-27,516.5,,,,,4.0,0.0,325.0
2017-01-30,510.75,,,,,5.75,0.0,325.0
2017-01-31,513.0,510.0,510.0,510.0,510.0,2.25,2.0,325.0
2017-02-01,521.75,510.0,510.0,510.0,510.0,8.75,7.0,326.0
2017-02-02,522.0,,,,,0.25,2.0,325.0
2017-02-03,518.5,518.25,518.25,518.25,518.25,3.5,4.0,324.0
2017-02-06,512.25,,,,,6.25,0.0,325.0
2017-02-07,514.25,510.0,513.75,510.0,513.75,2.0,4.0,325.0
2017-02-08,516.25,,,,,2.0,0.0,325.0
2017-02-09,524.25,520.75,520.75,516.0,516.0,8.0,2.0,325.0
2017-02-10,529.75,525.0,526.0,525.0,526.0,5.5,22.0,325.0
2017-02-13,532.5,525.0,532.0,525.0,532.0,2.75,12.0,317.0
2017-02-14,531.5,532.0,532.0,532.0,532.0,1.0,2.0,323.0
2017-02-15,535.5,532.0,532.0,532.0,532.0,4.0,11.0,325.0
2017-02-16,530.75,534.0,534.0,533.75,533.75,4.75,23.0,321.0
2017-02-17,529.0,529.25,529.25,529.25,529.25,1.75,4.0,324.0
