Date,Settle,Open,High,Low,Last,Change,Volume,Open Interest
2016-05-20,561.25,562.6,564.95,562.1,564.95,0.75,13.0,188.0
2016-05-23,552.55,552.0,552.0,552.0,552.0,8.7,1.0,192.0
2016-05-24,539.95,544.5,547.4,535.5,535.5,12.6,154.0,193.0
2016-05-25,531.85,526.1,531.5,526.1,530.9,8.1,39.0,297.0
2016-05-26,544.65,547.8,547.8,539.25,544.4,12.8,13.0,331.0
2016-05-27,540.0,550.1,550.15,536.85,536.85,4.65,36.0,333.0
2016-05-31,548.25,538.6,548.2,538.6,546.05,8.25,15.0,355.0
2016-06-01,547.7,545.75,549.3,545.75,548.25,0.55,18.0,360.0
2016-06-02,535.4,540.0,540.0,535.0,537.75,12.3,13.0,371.0
2016-06-03,550.25,537.0,561.2,537.0,550.25,14.85,62.0,383.0
2016-06-06,557.65,555.0,558.8,554.95,554.95,7.4,45.0,388.0
2016-06-07,552.95,556.9,556.9,547.25,552.3,4.7,15.0,377.0
2016-06-08,562.05,565.05,565.4,565.05,565.4,9.1,6.0,373.0
2016-06-09,561.4,559.15,563.7,554.9,562.2,0.65,13.0,372.0
2016-06-10,546.9,559.0,559.0,545.0,546.1,14.5,20.0,373.0
2016-06-13,546.65,547.45,548.1,542.8,542.8,0.25,6.0,372.0
2016-06-14,536.55,540.0,540.0,535.45,535.6,10.1,12.0,373.0
2016-06-15,533.45,540.85,546.3,532.65,537.75,3.1,20.0,375.0
2016-06-16,535.85,537.2,539.5,533.0,533.0,2.4,19.0,385.0
2016-06-17,530.4,532.6,532.6,530.8,531.95,5.45,7.0,378.0
2016-06-20,549.0,544.75,549.1,544.75,549.1,18.6,9.0,383.0
2016-06-21,552.1,547.95,551.3,546.25,551.3,3.1,7.0,388.0
2016-06-22,563.0,557.9,562.0,556.95,558.85,10.9,14.0,382.0
2016-06-23,566.6,560.0,564.95,558.5,564.9,3.6,20.0,388.0
2016-06-24,547.1,557.05,560.95,545.0,546.9,19.5,31.0,398.0
2016-06-27,558.1,553.4,558.3,551.3,557.0,11.0,47.0,409.0
2016-06-28,570.35,559.65,571.25,558.65,571.25,12.25,26.0,429.0
2016-06-29,591.15,588.0,591.6,583.55,591.6,20.8,10.0,430.0
2016-06-30,597.95,588.6,599.3,588.15,599.15,6.8,28.0,482.0
2016-07-01,606.25,600.25,606.9,593.7,606.9,8.3,28.0,485.0
2016-07-05,603.35,609.65,612.8,598.05,603.35,2.9,58.0,492.0
2016-07-06,608.55,604.85,610.45,595.3,609.5,5.2,118.0,520.0
2016-07-07,613.35,609.4,612.4,601.85,611.85,4.8,82.0,626.0
2016-07-08,618.2,602.4,620.1,602.4,620.1,4.85,147.0,698.0
2016-07-11,626.75,625.4,626.7,621.55,626.35,8.55,111.0,820.0
2016-07-12,629.85,625.15,630.25,622.75,630.25,3.1,146.0,925.0
2016-07-13,645.25,634.95,647.25,634.95,643.35,15.4,64.0,1019.0
2016-07-14,652.15,646.3,651.8,638.0,651.8,6.9,44.0,1023.0
2016-07-15,648.4,654.25,654.25,643.15,651.0,3.75,63.0,1039.0
2016-07-18,647.0,644.9,649.4,635.4,648.5,1.4,44.0,1088.0
2016-07-19,657.3,643.9,659.2,642.9,658.6,10.3,61.0,1103.0
2016-07-20,676.75,655.15,675.3,649.15,673.3,19.45,90.0,1138.0
2016-07-21,686.3,672.0,687.95,669.1,687.8,9.55,62.0,1163.0
2016-07-22,687.05,687.4,689.0,683.1,687.85,0.75,62.0,1195.0
2016-07-25,689.75,684.05,689.5,677.0,689.0,2.7,81.0,1218.0
2016-07-26,693.8,686.0,695.95,683.95,690.45,4.05,91.0,1241.0
2016-07-27,704.9,691.0,708.55,689.25,706.8,11.1,198.0,1306.0
2016-07-28,699.65,703.2,709.4,697.9,699.85,5.25,255.0,1327.0
2016-07-29,710.75,698.15,715.95,693.95,712.5,11.1,298.0,1515.0
2016-08-01,717.45,714.3,725.0,708.85,718.3,6.7,437.0,1623.0
2016-08-02,719.05,719.15,724.95,716.0,718.5,1.6,476.0,1897.0
2016-08-03,715.25,718.0,719.05,707.15,713.75,3.8,498.0,2288.0
2016-08-04,707.35,712.85,715.6,700.6,706.95,7.9,446.0,2663.0
2016-08-05,697.8,706.95,708.95,693.0,698.3,9.55,1301.0,2965.0
2016-08-08,694.75,697.8,701.1,690.95,695.0,3.05,625.0,3954.0
2016-08-09,695.85,693.3,697.05,689.2,695.95,1.1,556.0,4552.0
2016-08-10,727.95,696.8,748.0,696.25,726.25,32.1,1131.0,5023.0
2016-08-11,693.4,727.3,727.3,691.15,691.8,34.55,561.0,5580.0
2016-08-12,692.3,689.7,700.95,684.25,688.95,1.1,547.0,5951.0
2016-08-15,693.85,687.5,697.3,685.0,696.1,1.55,607.0,6229.0
2016-08-16,706.6,695.65,707.2,695.6,704.3,12.75,856.0,6597.0
2016-08-17,693.1,703.0,704.15,689.5,696.25,13.5,1492.0,6896.0
2016-08-18,714.9,698.75,719.85,698.75,713.7,21.8,1501.0,7904.0
2016-08-19,711.1,713.0,713.7,706.25,713.2,3.8,1504.0,8934.0
2016-08-22,694.0,711.1,712.8,692.55,693.2,17.1,3943.0,9970.0
2016-08-23,701.7,694.7,705.0,685.0,700.0,7.7,2957.0,13067.0
2016-08-24,684.4,701.2,703.2,680.9,685.05,17.3,4882.0,15024.0
2016-08-25,687.4,683.8,691.3,681.9,690.85,3.0,4509.0,19523.0
2016-08-26,693.75,691.0,704.0,683.2,690.1,6.35,5709.0,21573.0
2016-08-29,699.25,689.0,700.45,684.1,700.0,5.5,4917.0,23380.0
2016-08-30,678.2,699.55,703.3,674.45,680.0,21.05,6059.0,24806.0
2016-08-31,669.95,679.75,690.75,668.5,673.75,8.25,4091.0,25332.0
2016-09-01,661.7,671.05,677.35,657.7,667.45,8.25,4712.0,25249.0
2016-09-02,673.55,665.15,679.75,665.05,679.75,11.85,2708.0,24939.0
2016-09-06,700.65,679.7,701.85,675.2,699.85,27.1,4843.0,24909.0
2016-09-07,688.35,698.7,712.0,687.5,689.0,12.3,3596.0,25268.0
2016-09-08,687.85,690.95,698.15,682.8,686.7,0.5,2715.0,25094.0
2016-09-09,679.45,683.3,694.5,674.25,675.65,8.4,3334.0,24881.0
2016-09-12,656.7,674.35,677.5,653.1,664.5,22.75,5897.0,24722.0
2016-09-13,656.1,663.95,669.0,651.5,655.0,0.6,4233.0,24426.0
2016-09-14,656.5,654.4,663.6,652.5,656.55,0.4,3136.0,24217.0
2016-09-15,656.6,656.8,662.2,652.5,656.85,0.1,3138.0,23839.0
2016-09-16,672.4,657.85,679.0,651.5,674.5,15.8,4601.0,23590.0
2016-09-19,686.25,672.4,695.0,671.25,686.6,13.85,4684.0,23697.0
2016-09-20,683.5,685.1,691.5,679.0,684.9,2.75,3102.0,23926.0
2016-09-21,683.9,684.65,696.0,676.85,686.0,0.4,3396.0,24207.0
2016-09-22,700.45,684.2,701.75,684.2,695.05,16.55,3996.0,24215.0
2016-09-23,706.4,694.15,706.9,691.15,702.0,5.95,3868.0,24638.0
2016-09-26,696.15,700.9,702.4,688.0,695.2,10.25,3201.0,24979.0
2016-09-27,701.05,695.85,703.35,691.6,700.55,4.9,4271.0,25157.0
2016-09-28,714.4,702.0,717.5,699.5,714.3,13.35,5244.0,25545.0
2016-09-29,719.5,713.75,723.5,710.0,716.15,5.1,4524.0,26478.0
2016-09-30,721.5,716.8,728.0,714.55,723.15,2.0,4332.0,26905.0
2016-10-03,711.8,722.0,727.95,707.0,714.75,9.7,4361.0,27600.0
2016-10-04,699.55,714.65,714.95,696.5,699.1,12.25,4858.0,27443.0
2016-10-05,675.6,698.05,702.6,675.0,677.25,23.95,6734.0,27442.0
2016-10-06,666.15,677.3,683.85,661.5,668.55,9.45,6529.0,26610.0
2016-10-07,667.4,669.85,679.65,662.1,669.7,1.25,5407.0,25778.0
2016-10-10,668.55,667.65,677.5,662.5,668.7,1.15,3690.0,25522.0
2016-10-11,648.15,669.0,672.5,646.4,647.8,20.4,7252.0,25146.0
2016-10-12,649.1,648.1,656.5,645.75,647.85,0.95,4822.0,24033.0
2016-10-13,636.85,648.75,649.75,635.0,639.85,12.25,5252.0,23241.0
2016-10-14,648.3,638.5,650.0,632.0,646.65,11.45,4652.0,22889.0
2016-10-17,637.8,646.5,655.25,634.55,639.75,10.5,3813.0,22079.0
2016-10-18,639.4,638.5,647.8,636.65,636.95,1.6,4298.0,21892.0
2016-10-19,635.5,637.1,645.5,634.7,636.0,3.9,4047.0,21843.0
2016-10-20,632.85,636.0,641.1,626.3,632.5,2.65,4141.0,21493.0
2016-10-21,620.75,632.35,632.55,615.1,623.85,12.1,4804.0,21017.0
2016-10-24,630.75,620.4,634.25,616.2,633.75,10.0,4635.0,20798.0
2016-10-25,634.85,634.6,643.3,633.25,634.35,4.1,4032.0,20535.0
2016-10-26,620.95,634.5,639.6,618.2,622.35,13.9,5122.0,20140.0
2016-10-27,613.2,621.5,626.35,611.15,612.45,7.75,5373.0,19686.0
2016-10-28,616.35,612.75,623.55,611.0,620.95,3.15,4742.0,19706.0
2016-10-31,618.0,622.05,624.55,610.55,621.0,1.65,4794.0,19404.0
2016-11-01,634.1,620.15,636.85,618.9,632.9,16.1,6159.0,19840.0
2016-11-02,634.5,634.1,636.4,627.4,628.7,0.4,3310.0,19134.0
2016-11-03,617.6,627.5,632.35,616.95,618.5,16.9,4840.0,18962.0
2016-11-04,624.8,617.05,634.95,617.0,627.0,7.2,5010.0,18638.0
2016-11-07,656.4,628.9,657.55,617.15,651.85,31.6,7902.0,18090.0
2016-11-08,665.5,651.85,670.0,644.15,664.6,9.1,6868.0,17669.0
2016-11-09,681.45,664.2,684.65,652.0,678.8,15.95,7109.0,16750.0
2016-11-10,696.5,679.9,698.65,674.5,689.75,15.05,8217.0,16369.0
2016-11-11,684.7,689.0,697.85,669.8,672.45,11.8,9141.0,15535.0
2016-11-14,697.7,674.1,699.95,667.1,697.05,13.0,7604.0,14814.0
2016-11-15,705.95,696.1,706.95,688.8,705.4,8.25,8235.0,14714.0
2016-11-16,718.8,704.0,719.55,690.1,716.75,12.85,7464.0,13728.0
2016-11-17,729.65,716.25,734.1,711.35,727.0,10.85,6250.0,14375.0
2016-11-18,727.8,729.3,729.3,702.8,724.1,1.85,8957.0,14487.0
2016-11-21,726.55,727.05,732.25,721.65,728.8,1.25,5986.0,13836.0
2016-11-22,744.25,727.25,748.9,726.25,742.0,17.7,8635.0,12380.0
2016-11-23,737.4,742.35,744.85,723.7,734.65,6.85,8724.0,10203.0
2016-11-25,741.05,734.95,744.95,724.6,744.95,3.65,5957.0,6531.0
2016-11-28,756.35,745.7,760.2,743.6,757.3,15.3,3854.0,3451.0
2016-11-29,763.65,755.55,766.0,754.0,762.75,7.3,884.0,917.0
